Mode,Nom,Catégorie,Calories,Coût total,Coût par part,Temps de préparation,Temps de cuisson,Ingrédients,Étapes,Image,URL
Mode Sans gluten,Crèmes à la noisette (dessert vegan et sans gluten),Dessert,311 Kcal,2.02Euros€,(1.01€/part),5 min,10 min,20 cl de lait d'amande; 2 c. à soupe de maïzena; 2 c. à soupe de purée denoisettes; 1 c. àcaféde cacao en poudre; 40 gr de noisettes concassées,"Délayez la maïzena dans 8 cl de lait d'amande. | Faites chauffer le reste de lait d'amande, et ajoutez y la maïzena délayée. Ajoutez la purée de noisettes et le cacao. | Mélangez au fouet sur feu moyen. Le mélange devrait bien épaissir. Sortez du feu. | Versez la préparation dans des ramequins, et parsemez de noisettes concassées. Mettez au frais 1 heure. | Et voilà, vos crèmes à la noisette sont prêtes !",https://www.ptitchef.com/imgupl/recipe/cremes-a-la-noisette-dessert-vegan-et-sans-gluten--md-455937p708676.jpg,https://www.ptitchef.com/recettes/dessert/cremes-a-la-noisette-dessert-vegan-et-sans-gluten-fid-1570826
Mode Sans gluten,Cuisinez sans gluten : Tout ce que vous devez savoir pour remplacer la farine de blé!,Type non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Image non trouvée,https://www.ptitchef.com/dossiers/recettes/cuisinez-sans-gluten-tout-ce-que-vous-devez-savoir-pour-remplacer-la-farine-de-ble-aid-4482
Mode Sans gluten,Gâteau aux bananes et pépites de chocolat - vegan et sans gluten,Dessert,323 Kcal,4.04Euros€,(0.5€/part),10 min,25 min,3bananes; 30gr de sirop d'agave; 145gr de purée de cacahuètes; 125ml de lait d'amande; 260gr de farine de riz (ou autre farine sans gluten); 1 sachet de poudre à lever; 50gr depépites de chocolat; Une pincée de sel,"Écraser les 3 bananes dans une assiette. | Les ajouter dans un saladier avec le sirop d'agave, la purée de cacahuètes et le lait d'amande. Mélanger. | Ajouter la farine de riz, la poudre à lever, la pincée de sel et les pépites de chocolat. Mélanger. | Disposer la pâte dans un moule carré et faire cuire 25 minutes à 180°C. | Piquer l'intérieur du gâteau avec la pointe d'un couteau. Si ce dernier ressort sec, le gâteau est cuit ! Sinon, le laisser cuire 2-3 minutes de plus. Bon appétit !",https://www.ptitchef.com/imgupl/recipe/gateau-aux-bananes-et-pepites-de-chocolat-vegan-et-sans-gluten--md-460799p724690.jpg,https://www.ptitchef.com/recettes/dessert/gateau-aux-bananes-et-pepites-de-chocolat-vegan-et-san-gluten-fid-1574956
Mode Sans gluten,Pancakes rapides et sans gluten (bananes+ oeufs),Dessert,60 Kcal,0.5Euros€,(0.13€/part),10 min,10 min,1bananemûre; 2œufs,"Mettez la banane en morceaux et les 2 œufs dans un hachoir. Si vous n'avez pas de hachoir, écrasez la banane à la fourchette et mélangez la avec les deux œufs. | Si vous avez un hachoir, mixez jusqu'à ce que le mélange soit lisse. | Dans une poêle chaude et huilée, sur feu moyen, versez une petite louche de préparation. Laissez cuire 4 minutes, et retournez le pancake. | Laissez cuire 2 minutes de plus. Sortez le pancake de la poêle. | Et voilà, vos pancakes de banane sont prêts !",https://www.ptitchef.com/imgupl/recipe/pancakes-rapides-et-sans-gluten-bananes-oeufs--md-454047p703785.jpg,https://www.ptitchef.com/recettes/dessert/pancakes-de-banane-fid-1568826
Mode Sans gluten,Gâteau au yaourt de soja et compote de pommes (vegan et sans gluten),Dessert,276 Kcal,2.56Euros€,(0.32€/part),5 min,30 min,200gr de compote de pommes (2 pots); 1 yaourt de soja; 100gr de sucre de canne (1 pot de yaourt); 100ml d'huile (1 pot); 80gr de maïzena (1 pot ); 100gr de farine de riz (2 pots); 50ml de lait d'amande(1/2 pot); 1 sachet de levure sans gluten; 2 càc d'extrait devanille,"Mélanger la compote de pommes, le lait d'amande et le sucre de canne. | Ajouter le yaourt de soja, l'extrait de vanille, la farine de riz, la maïzena, la levure et mélanger. | Tout en fouettant, ajouter l'huile en filet. Mélanger jusqu'à obtenir une pâte homogène. | Mettre la pâte dans un moule. Le nôtre mesure 22cm de diamètre | Enfourner durant 30 minutes à 190°C.",https://www.ptitchef.com/imgupl/recipe/gateau-au-yaourt-de-soja-et-compote-de-pommes-vegan-et-sans-gluten--md-457212p712305.jpg,https://www.ptitchef.com/recettes/dessert/gateau-au-yaourt-de-soja-et-compote-de-pommes-vegan-et-sans-gluten-fid-1572009
Mode Sans gluten,Snickers faits maison en version vegan et sans gluten,Goûter,523 Kcal,3.2Euros€,(0.8€/part),10 min,Temps de repos2 heures,150gr dedattesdénoyautées; 1 cuillère à soupe de purée de cacahuète; 1 cuillère à soupe de lait végétale (amande pour moi); 1 cuillère à soupe de yaourt végétale (soja pour moi); 80gr de flocons d'avoine; 2 cuillères à soupe de poudre d'amande; 2 poignées de cacahuètes non salées; 150gr dechocolatdessert,"Faire tremper les dattes dénoyautées dans de l'eau chaude environ 10 minutes. Cette étape va permettre de les ramollir et donc de faciliter l'étape suivante. | Préparation du ""caramel"" : dans un mixeur, ajouter les dattes égouttées + la purée de cacahuètes + le yaourt végétale + le lait végétale. Mixer et réserver. | Préparation de la ""pâte"" : dans un mixeur, ajouter les flocons d'avoine + la poudre d'amandes + 2 càs d'une ""caramel"" précédemment réalisé. Mixer le tout jusqu'à obtention d'une pâte épaisse. | Le montage : dans un moule rectangulaire préalablement foncé avec du papier cuisson (pour faciliter l'étape du démoulage), disposez la ""pâte"" en tassant bien sur toute la surface. | Par-dessus, ajouter le ""caramel"" en étalant bien sur toute la surface. | Enfin, parsemer de cacahuètes non salées et aplatir légèrement afin qu'elles s'enfoncent dans le ""caramel"". | Placer le tout au congélateur durant 1h30. Une fois ce temps passé, sortir la préparation et la démouler du cake. Couper des bâtonnets d'environ 2cm de large. | Faire fondre le chocolat au bain-marie puis y tremper les morceaux de bâtonnets. | Bien recouvrir toute la surface puis les laisser reposer sur une grille afin qu'ils s'égouttent. Placer le tout au frais environ 20 minutes et dégustez !",https://www.ptitchef.com/imgupl/recipe/snickers-faits-maison-en-version-vegan-et-sans-gluten--md-459581p720680.jpg,https://www.ptitchef.com/recettes/gouter/snickers-faits-maison-en-version-vegan-et-sans-gluten-fid-1573906
Mode Sans gluten,Cookies à l'okara - recette vegan et sans gluten,Goûter,Non spécifié,Non spécifié,Non spécifié,10 min,12 min,100gr okara; 150gr de farine sans gluten (mélange acheté en magasin ou mélangez vous-même plusieurs farines sans gluten); 80gr de sucre de canne; 1 cuillère àcaféde poudre à lever; 30ml d'huile d'olive; 90ml de lait d'amandes; 50gr depépites de chocolat; 1 pincée de sel,"Une fois le lait d'amande filtré, il reste des amandes broyées dans le filet (okara). Bien essorer l'excédent de lait et placer l'okara dans un saladier. | Ajouter la farine, le sucre, la poudre à lever, le sel et mélanger. Ajouter l'huile et le lait puis mélanger de nouveau. Ajouter les pépites de chocolat et mélanger avec les mains. | À l'aide d'une cuillère à soupe, former des boules uniformes puis les placer sur une plaque recouverte de papier cuisson. Aplatir les boules de sorte à former les cookies (ces derniers ne s'étaleront pas plus durant la cuisson). | Faire cuire pendant 12 minutes à 180°C. | Laisser refroidir les cookies et place au goûter ! Bon appétit :-)",https://www.ptitchef.com/imgupl/recipe/cookies-a-l-okara-recette-vegan-et-sans-gluten--md-458287p715997.jpg,https://www.ptitchef.com/recettes/gouter/cookies-a-l-okara-recette-vegan-et-sans-gluten-fid-1572877
Mode Sans gluten,Galette des rois frangipane (sans gluten),Dessert,603 Kcal,8.07Euros€,(1.01€/part),10 min,25 min,2pâtes feuilletéessans gluten; 200gr de poudre d'amandes; 80gr de sucre de canne; 35gr de maïzena (fécule de maïs); 1 pincée de sel; 20 cl de crème d'amande; 1 bouchon derhum; 3 cuillère à soupe de lait d'amande; 25gr de purée d'amandes,"Mélanger la poudre d'amande + la maïzena + la pincée de sel + le sucre de canne. | Ajouter la crème d'amande + le lait d'amande + la purée d'amande + le bouchon de rhum et mélanger. | Dérouler votre pâte feuilletée sans gluten sur une plaque de cuisson. Étaler la garniture dessus (en laissant 2cm d'espace entre les bords et la garniture). Badigeonner les bords d'eau. | Mettre la deuxième pâte feuilletée par-dessus et la coller à la pâte du dessous en pressant les bords. Ne pas hésiter à enrouler les deux pâtes afin de former des boudins comme ici. Avec la pointe d'un couteau, dessiner des rayures sur le dessus. | Badigeonner le dessus de lait d'amande. | Enfourner 25 minutes à 180°C.",https://www.ptitchef.com/imgupl/recipe/galette-des-rois-frangipane-sans-gluten--md-457177p712196.jpg,https://www.ptitchef.com/recettes/dessert/galette-des-rois-frangipane-sans-gluten-fid-1571982
Mode Sans gluten,Crumble aux pommes (vegan et sans gluten),Dessert,228 Kcal,2.75Euros€,(0.46€/part),10 min,30 min,2 pommes (grosses); 70gr de farine de riz; 60gr de margarine; 30gr de sucre de canne; 60gr de poudre d'amande; 1 càc decannelle,"Éplucher les pommes (ou bien lavez-les et gardez la peau si elles sont bio) puis les couper en petites morceaux. Dans une poêle sur feu doux, les faire revenir avec une pointe de margarine et de la cannelle pendant environ 10 minutes. | Préchauffer le four à 180°C. Pendant ce temps, préparer le crumble : dans un saladier, mettre la margarine, la farine, la poudre d'amande et le sucre. Mélanger avec les doigts afin de donner un effet sablé à votre crumble. | Une fois que les pommes sont tendres, les placer dans le fond d'un moule puis disposer le crumble par-dessus. Enfourner pendant environ 20 minutes (plus suivant votre four). Si le crumble brunit trop vite, placer une feuille de papier aluminium sur le dessus et laisser cuire ainsi le reste du temps. | Une fois cuit, servir le crumble tel quel ou l'accompagner d'une boule de glace vanille :-)",https://www.ptitchef.com/imgupl/recipe/crumble-aux-pommes-vegan-et-sans-gluten--md-457499p713137.jpg,https://www.ptitchef.com/recettes/dessert/crumble-aux-pommes-vegan-et-sans-gluten-fid-1572214
Mode Sans gluten,Flans à la courgette et au pesto - sans gluten,Plat,204 Kcal,4.02Euros€,(0.57€/part),10 min,35 min,3œufs; 2 jaunes d'oeuf; 20 cl de crème liquide; 10 cl de lait; 20 gr deparmesan; 500 gr decourgettes; 3 c. à soupe de saucepesto,"Éplucher et mixer les courgettes. Mélanger les œufs, les jaunes d’œufs, la crème et le lait. | Ajouter le parmesan, les courgettes et le pesto. Bien mélanger. | Verser la pâte dans des ramequins graissés. Faire cuire au bain-marie au four pendant 35 minutes à 180°C. | C'est prêt !",https://www.ptitchef.com/imgupl/recipe/flans-a-la-courgette-et-au-pesto-sans-gluten--md-460124p722932.jpg,https://www.ptitchef.com/recettes/plat/flans-a-la-courgette-et-au-pesto-sans-gluten-fid-1574508
Mode Sans gluten,Biscuits aux pépites de chocolat (vegan et sans gluten),Goûter,162 Kcal,3.16Euros€,(0.21€/part),10 min,15 min,235gr de farine deriz; 60gr de compote de pomme; 60gr de sucre; 100gr de chocolat (découpé en morceaux ou 100gr depépites de chocolat); 100gr de margarine végétale; 1 cuillère àcaféde poudre à lever,"Dans un récipient, écraser la margarine à l'aide d'une fourchette afin de la rendre pommade. Ajouter le sucre et mélanger jusqu'à obtenir une crème. | Ajouter la compote de pomme et mélanger de nouveau. Ajouter la farine puis la levure et mélanger. Votre pâte doit être bien homogène. Si vous la touchez et qu'elle ne reste pas accrochée à votre doigt, cela veut dire qu'elle est prête ! Si elle est trop collante, ajouter un peu de farine. Ajouter vos pépites de chocolat et mélanger. | Préchauffer le four à 180°C. Former des petites boules avec la pâte et les placer sur une plaque de cuisson recouverte de papier sulfurisé. Écraser les boules à l'aide d'une fourchette. Étant donné que vos biscuits ne vont pas s'étaler durant la cuisson, c'est à cette étape que vous définissez l'épaisseur que vous souhaitez leur donner. | Enfourner 15 minutes et les laisser refroidir dès leur sortie du four.",https://www.ptitchef.com/imgupl/recipe/biscuits-aux-pepites-de-chocolat-vegan-et-sans-gluten--md-457153p712110.jpg,https://www.ptitchef.com/recettes/gouter/biscuits-aux-pepites-de-chocolat-vegan-et-sans-gluten-fid-1571971
Mode Sans gluten,"Arepas vénézueliens, petits pains sans gluten avec seulement 3 ingrédients",Accompagnement,148 Kcal,1.07Euros€,(0.13€/part),5 min,Temps de repos15 min,625 ml d'eau tempérée (2.5 tasses); 320 gr de farine de maïs précuit (2 tasses); 2 c. àcaféde sel; 1 c. à café d'huile d'olive (optionnel),"Mettre l'eau tempérée, le sel et l'huile dans un grand saladier. Mélanger. Ajouter la farine petit à petit tout en remuant à la fourchette pour l'incorporer. Vous pouvez terminer de pétrir à la main pour bien mélanger la pâte et éviter les grumeaux. | Laisser reposer la pâte pendant 15 minutes pour que la farine ait le temps de bien s'hydrater. | Humidifiez les paumes de vos mains pour manipuler la pâte sans qu'elle ne colle. Diviser la pâte en 10 portions environ. Faire des boules de pâte, puis les aplatir pour former des disques. | Graisser une poêle avec un peu d'huile. Cuire les arepas à feu moyen pendant environ 7 minutes de chaque côté. Elles doivent être bien toastées. Couper le feu, couvrir la poêle et laisser reposer 5 minutes environ. Vérifier la cuisson des arepas (voir observations). | Laisser reposer afin que les petits pains refroidissent et ils seront prêts à être garnis avec vos ingrédients préférés !",https://www.ptitchef.com/imgupl/recipe/arepas-venezueliens-petits-pains-sans-gluten-avec-seulement-3-ingredients--md-462340p730998.jpg,https://www.ptitchef.com/recettes/accompagnement/arepas-venezueliens-petits-pains-sans-gluten-avec-seulement-3-ingredients-fid-1576573
Mode Sans gluten,Tarte aux abricots sans gluten,Dessert,474 Kcal,9.25Euros€,(1.16€/part),10 min,45 min,1pâte feuilletéesans gluten; 200gr de poudre d'amandes; 35gr de maïzena; 40gr de sucre de coco; 1 pincée de sel; 20cl de crème d'amande; 3 cuillères à soupe de lait végétal (ici amande); 25gr de purée de cacahuètes; 1 bouchon derhum; 8abricots,"Mélanger les ingrédients secs : poudre d'amandes, maïzena, sucre de coco et sel. | Ajouter les ingrédients liquides : crème d'amandes, lait végétal, purée de cacahuètes, bouchon de rhum. Mélanger jusqu'à obtenir un pâte homogène. | Dérouler la pâte feuilletée et la disposer dans un plat à tarte. Y verser la crème d'amande végétale. | Couper les abricots en 2, les dénoyauter et les disposer sur la crème d'amande végétale. Les enfoncer légèrement. Mettre à cuire 45 minutes à 180°C. | Laisser refroidir à température ambiante et saupoudrer de sucre glace avant présentation. Bon appétit !",https://www.ptitchef.com/imgupl/recipe/tarte-aux-abricots-sans-gluten--md-458286p715983.jpg,https://www.ptitchef.com/recettes/dessert/tarte-aux-abricots-sans-gluten-fid-1572878
Mode Sans gluten,Pancakes vegan et sans gluten,Goûter,255 Kcal,2.61Euros€,(0.43€/part),10 min,Temps de repos20 min,1banane; 20gr de sucre de canne; 3 yaourts de soja; 3cl d'huile; 20cl de lait d'amande; 225gr de farine de riz; 1 sachet de levure (sans gluten),"Dans un saladier, écraser la banane à l'aide d'une fourchette. Ajouter le sucre, l'huile, le lait végétal et mélanger. | Ajouter les yaourts de soja, la levure et mélanger. | Ajouter la farine petit à petit et mélanger. Pour des pancakes bien moelleux, laisser reposer la pâte environ 20 minutes au réfrigérateur (facultatif). | Mettre à chauffer une poêle sur feu doux. Une fois prête, déposer une petite louche de pâte, étaler légèrement et laisser cuire environ 1 minute. ►Astuce : votre pancake sera prêt à être retourné lorsque des bulles se formeront à sa surface. Laisser cuire un peu moins d'1 minutes l'autre surface. | Répéter l'opération jusqu'à ce qu'il n'y ait plus de pâte. Disposer les pancakes les uns sur les autres afin de former une belle tour et c'est prêt ! Vous n'avez plus qu'à les garnir selon vos envies : sirop d'érable, coulis de chocolat, fruits frais...",https://www.ptitchef.com/imgupl/recipe/pancakes-vegan-et-sans-gluten--md-457386p712770.jpg,https://www.ptitchef.com/recettes/gouter/pancakes-vegan-et-sans-gluten-fid-1572124
Mode Sans gluten,Muffins au coeur chocolaté - vegan et sans gluten,Goûter,292 Kcal,3.86Euros€,(0.64€/part),10 min,30 min,80gr de farine deriz; 80gr de poudre d'amande; 80gr de maïzena; 50gr de sucre de canne; 20cl de crème de soja; 1 càc de bicarbonate de soude; 1 càc d'extrait devanille; 12 carrés dechocolat; Le jus d'1/2citron; Une pincée de sel,"Dans un saladier, mélanger les ingrédients secs : farine + poudre d'amandes + fécule de maïs + sucre + bicarbonate de soude + sel. | Ajouter les ingrédients liquides : le jus d'1/2 citron + la crème de soja + l'extrait de vanille et mélanger. | Dans des moules à muffins, disposer des petits cagettes en papier. Les remplir jusqu'aux 3/4. Enfoncer un carré de chocolat dans chaque moule et recouvrir de pâte. | Faire cuire les muffins 30 minutes à 180°C. Laisser légèrement refroidir et déguster !",https://www.ptitchef.com/imgupl/recipe/muffins-au-coeur-chocolate-vegan-et-sans-gluten--md-460801p724700.jpg,https://www.ptitchef.com/recettes/gouter/muffins-au-coeur-chocolate-vegan-et-sans-gluten-fid-1574957
Mode Sans gluten,Bowl cake banane coco - sans lactose et sans gluten,Dessert,1444 Kcal,3.86Euros€,(3.86€/part),10 min,3 min,1bananebien mûre; 3 c. à soupe de lait de coco; 1oeuf; 40 gr de flocons de sarrasin; 1 c. àcaféde bicarbonate de soude; pépites de chocolat; Fraises; Noix de coco râpée; Myrtilles,"Dans un bol, écraser la banane en purée à l'aide d'une fourchette. Rajouter l’œuf, le lait de coco, et bien mélanger. | Ajouter les flocons de sarrasin, la levure, et des pépites de chocolat, et bien mélanger. | Verser la pâte dans un bol, et faire cuire au micro-ondes pendant 3 minutes à puissance maximale. | Démouler le bowl cake et décorer selon vos goûts !",https://www.ptitchef.com/imgupl/recipe/bowl-cake-banane-coco-sans-lactose-et-sans-gluten--md-450479p696519.jpg,https://www.ptitchef.com/recettes/dessert/bowl-cake-banane-coco-sans-lactose-et-sans-gluten-fid-1565613
